1,15,Structural,6/6/2024,Component,Minor,Visual_Inspection,245.47
2,6,Functional,4/26/2024,Component,Minor,Visual_Inspection,26.87
3,84,Structural,2/15/2024,Internal,Minor,Automated_Testing,835.81
4,10,Functional,3/28/2024,Internal,Critical,Automated_Testing,444.47
5,14,Cosmetic,4/26/2024,Component,Minor,Manual_Testing,823.64
6,17,Functional,5/11/2024,Internal,Moderate,Visual_Inspection,788.11
7,85,Cosmetic,5/23/2024,Internal,Critical,Manual_Testing,33.68
8,90,Structural,1/15/2024,Internal,Moderate,Manual_Testing,65.56
9,30,Structural,1/26/2024,Component,Critical,Manual_Testing,848.61
10,20,Structural,6/5/2024,Component,Critical,Visual_Inspection,478.48
11,45,Structural,4/28/2024,Surface,Moderate,Automated_Testing,217.96
12,86,Structural,2/25/2024,Component,Minor,Manual_Testing,485.02
13,87,Cosmetic,6/20/2024,Component,Minor,Visual_Inspection,714.63
14,72,Cosmetic,5/8/2024,Surface,Critical,Manual_Testing,603.94
15,74,Cosmetic,5/3/2024,Component,Critical,Manual_Testing,189.55
16,10,Functional,1/20/2024,Component,Minor,Automated_Testing,458.79
17,53,Structural,5/14/2024,Internal,Minor,Visual_Inspection,509.35
18,63,Cosmetic,5/21/2024,Component,Critical,Visual_Inspection,538.99
19,28,Functional,2/15/2024,Internal,Critical,Manual_Testing,34.93
20,81,Structural,5/25/2024,Internal,Moderate,Manual_Testing,557.11
21,67,Functional,5/3/2024,Surface,Minor,Visual_Inspection,831.43
22,6,Structural,3/6/2024,Surface,Minor,Visual_Inspection,504.9
23,33,Structural,5/6/2024,Surface,Moderate,Automated_Testing,349.23
24,15,Structural,2/23/2024,Component,Critical,Visual_Inspection,560.39
25,13,Cosmetic,2/19/2024,Surface,Moderate,Manual_Testing,629.71
26,39,Structural,6/15/2024,Component,Moderate,Visual_Inspection,975.44
27,60,Cosmetic,5/8/2024,Component,Moderate,Manual_Testing,737.54
28,42,Structural,1/2/2024,Component,Critical,Manual_Testing,592.87
29,3,Structural,1/13/2024,Component,Moderate,Automated_Testing,99.82
30,17,Functional,1/22/2024,Surface,Critical,Visual_Inspection,106.34
31,30,Structural,4/30/2024,Surface,Critical,Automated_Testing,352.58
32,25,Structural,3/29/2024,Surface,Moderate,Visual_Inspection,734.12
33,14,Cosmetic,5/15/2024,Internal,Minor,Visual_Inspection,953.54
